action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,pIC50
,,18750273,[],CHEMBL4263631,Inhibition of recombinant full length human Dyrk1A expressed in Baculovirus expression system using KKISGRLSPIMTEQ as substrate in presence of ATP,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1ccc(F)cc1F,,,CHEMBL4261587,Eur J Med Chem,2018,"{'bei': '18.58', 'le': '0.36', 'lle': '1.91', 'sei': '13.32'}",CHEMBL4295177,,CHEMBL4295177,7.31,0,http://www.openphacts.org/units/Nanomolar,3115489,=,1,1,=,,IC50,nM,,49.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,49.0,7.310
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623890,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NCc2ccccc2)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '21.86', 'le': '0.42', 'lle': '4.40', 'sei': '11.01'}",CHEMBL5405969,,CHEMBL5405969,7.31,0,http://www.openphacts.org/units/Nanomolar,3991460,=,1,1,=,,IC50,nM,,49.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.049,7.310
,,18407923,[],CHEMBL4151434,Inhibition of GST-tagged human recombinant DYRK1A by FRET-based LanthaScreen Eu kinase binding assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)[nH]c1c(C)nc(CO)cc12,,,CHEMBL4145671,J Med Chem,2018,"{'bei': '30.15', 'le': '0.55', 'lle': '4.78', 'sei': '12.57'}",CHEMBL4173266,,CHEMBL4173266,7.30,0,http://www.openphacts.org/units/Nanomolar,3055168,=,1,1,=,,IC50,nM,,49.5,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,49.5,7.305
,,18193166,[],CHEMBL4041963,Inhibition of GST tagged recombinant human DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](CO)/N=C/c1cccc(-c2cnc3ccc(N[C@H](CC)CO)nn23)c1,,,CHEMBL4041493,Eur J Med Chem,2017,"{'bei': '19.14', 'le': '0.36', 'lle': '4.53', 'sei': '7.68'}",CHEMBL4084919,,CHEMBL4084919,7.30,0,http://www.openphacts.org/units/Nanomolar,3018162,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
,,13856178,[],CHEMBL3097750,Inhibition of human recombinant DYRK1A expressed in Escherichia coli using GRSRSRSRSRSR as substrate,B,,,BAO_0000190,BAO_0000019,assay format,NCCOCCOCCOc1ccc(NC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2)cc1,,,CHEMBL3091319,Eur J Med Chem,2013,"{'bei': '16.06', 'le': '0.30', 'lle': '5.58', 'sei': '5.81'}",CHEMBL3092862,,CHEMBL3092862,7.30,0,http://www.openphacts.org/units/Nanomolar,1952742,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623853,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(N[C@@H](CO)CC2CCCCC2)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '18.99', 'le': '0.37', 'lle': '4.26', 'sei': '8.43'}",CHEMBL5431535,,CHEMBL5431535,7.30,0,http://www.openphacts.org/units/Nanomolar,3991423,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
,,16836158,[],CHEMBL3875856,Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate incubated for 30 mins in presence of [gamma-33 P] ATP by liquid scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,N#Cc1cc2cnccc2c2[nH]c3ccccc3c12,,,CHEMBL3875174,Eur J Med Chem,2016,"{'bei': '30.01', 'le': '0.52', 'lle': '3.56', 'sei': '13.91'}",CHEMBL3883764,,CHEMBL3883764,7.30,0,http://www.openphacts.org/units/Nanomolar,2815232,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25076370,[],CHEMBL5254664,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,NCCC(NC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(CC(N)=O)nc3[nH]c2=O)c1)c1ccccc1,,,CHEMBL5252550,Eur J Med Chem,2018,"{'bei': '13.67', 'le': '0.26', 'lle': '5.23', 'sei': '3.93'}",CHEMBL5288413,,CHEMBL5288413,7.30,0,http://www.openphacts.org/units/Nanomolar,3930712,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623834,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@@H]1CCCC[C@H]1NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '20.48', 'le': '0.40', 'lle': '4.63', 'sei': '9.66'}",CHEMBL5394394,,CHEMBL5394394,7.30,0,http://www.openphacts.org/units/Nanomolar,3991404,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24360837,[],CHEMBL5034566,Inhibition of DYRK1A (unknown origin) assessed as accumulation of ADP by ADP hunter plus assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1nc(C)nc2[nH]cc(-c3ccncc3)c12,,,CHEMBL5034005,J Med Chem,2021,"{'bei': '30.39', 'le': '0.55', 'lle': '4.96', 'sei': '11.46'}",CHEMBL5083242,,CHEMBL5083242,7.30,0,http://www.openphacts.org/units/Nanomolar,3774791,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623787,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2c(c1)CCO2,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '20.09', 'le': '0.37', 'lle': '4.29', 'sei': '11.64'}",CHEMBL5394613,,CHEMBL5394613,7.30,0,http://www.openphacts.org/units/Nanomolar,3991357,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623942,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1ncc2cccc(NC3=N/C(=C\c4ccc5ncsc5c4)C(=O)N3)c21,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '19.50', 'le': '0.37', 'lle': '4.18', 'sei': '8.67'}",CHEMBL5394513,,CHEMBL5394513,7.30,0,http://www.openphacts.org/units/Nanomolar,3991512,=,1,1,=,,IC50,nM,,50.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.05,7.301
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25065028,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.833', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '110.0'}]",CHEMBL5251379,Inhibition of recombinant human DYRK1A expressed in Escherichia coli using DYRKtide peptide as substrate incubated for 110 mins in presence of ATP by non-radioactive ADP-Glo luminescence microplate reader assay,B,,,BAO_0000190,BAO_0000019,assay format,c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1,,,CHEMBL5247649,J Med Chem,2023,"{'bei': '18.78', 'le': '0.34', 'lle': '3.42', 'sei': '8.82'}",CHEMBL1614713,CC-401,CHEMBL1614713,7.30,0,http://www.openphacts.org/units/Nanomolar,3928654,=,1,1,=,,IC50,nM,,50.4,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.0504,7.298
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25065056,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.833', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '110.0'}]",CHEMBL5251379,Inhibition of recombinant human DYRK1A expressed in Escherichia coli using DYRKtide peptide as substrate incubated for 110 mins in presence of ATP by non-radioactive ADP-Glo luminescence microplate reader assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2sc(-c3cncc(NC(C)=O)c3)nc2c1,,,CHEMBL5247649,J Med Chem,2023,"{'bei': '24.37', 'le': '0.47', 'lle': '3.96', 'sei': '11.38'}",CHEMBL5288595,,CHEMBL5288595,7.29,0,http://www.openphacts.org/units/Nanomolar,3928700,=,1,1,=,,IC50,nM,,50.8,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.0508,7.294
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24360851,[],CHEMBL5034566,Inhibition of DYRK1A (unknown origin) assessed as accumulation of ADP by ADP hunter plus assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc(NCc2cscn2)c2c(-c3ccnc(N)c3)c[nH]c2n1,,,CHEMBL5034005,J Med Chem,2021,"{'bei': '21.61', 'le': '0.41', 'lle': '4.31', 'sei': '6.92'}",CHEMBL5076145,,CHEMBL5076145,7.29,0,http://www.openphacts.org/units/Nanomolar,3774806,=,1,1,=,,IC50,nM,,51.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.051,7.292
,,6183721,[],CHEMBL1771957,Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN(Cc1nccs1)c1ncnc2ccc(-c3ccc4c(c3)OCO4)cc12,,,CHEMBL1770051,Bioorg Med Chem Lett,2011,"{'bei': '19.37', 'le': '0.37', 'lle': '3.17', 'sei': '12.08'}",CHEMBL1396483,,CHEMBL1396483,7.29,0,http://www.openphacts.org/units/Nanomolar,1418952,=,1,1,=,,IC50,nM,,51.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,51.0,7.292
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623817,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(N[C@H]2CCCC[C@H]2O)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '21.30', 'le': '0.41', 'lle': '5.27', 'sei': '8.42'}",CHEMBL5429703,,CHEMBL5429703,7.29,0,http://www.openphacts.org/units/Nanomolar,3991387,=,1,1,=,,IC50,nM,,51.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.051,7.292
,,18750258,[],CHEMBL4263631,Inhibition of recombinant full length human Dyrk1A expressed in Baculovirus expression system using KKISGRLSPIMTEQ as substrate in presence of ATP,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(C(=O)Nc2cncc(-c3cc(-c4cccnc4)cs3)c2)cc1,,,CHEMBL4261587,Eur J Med Chem,2018,"{'bei': '19.62', 'le': '0.37', 'lle': '1.86', 'sei': '13.28'}",CHEMBL4292471,,CHEMBL4292471,7.29,0,http://www.openphacts.org/units/Nanomolar,3115474,=,1,1,=,,IC50,nM,,51.4,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,51.4,7.289
,,14750929,[],CHEMBL3299298,Inhibition of DYRK1A (unknown origin) assessed as inhibition of phosphate incorporation into substrate in presence of radiolabeled ATP,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,,,CHEMBL3297725,J Nat Prod,2014,"{'bei': '20.45', 'le': '0.45', 'lle': '3.86', 'sei': '9.88'}",CHEMBL409450,6BIO,CHEMBL409450,7.28,0,http://www.openphacts.org/units/Nanomolar,2119832,=,1,1,=,,IC50,nM,,52.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.052,7.284
,,13858000,[],CHEMBL3097668,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1nc(C)c2cc(C(=O)Nc3cc(C(=O)NC(CCN)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,,,CHEMBL3091386,Bioorg Med Chem Lett,2013,"{'bei': '13.98', 'le': '0.27', 'lle': '3.92', 'sei': '4.79'}",CHEMBL3094439,,CHEMBL3094439,7.28,0,http://www.openphacts.org/units/Nanomolar,1954774,=,1,1,=,,IC50,nM,,52.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.052,7.284
,,18052939,[],CHEMBL4011952,Inhibition of DYRK1A (unknown origin) pretreated for 30 mins followed by substrate addition measured after 5 hrs in presence of 1 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1=C(Nc2ccccc2Cl)O/C(=C\c2c[nH]c3ncccc23)C1=O,,,CHEMBL4011589,Eur J Med Chem,2017,"{'bei': '18.38', 'le': '0.35', 'lle': '3.63', 'sei': '7.80'}",CHEMBL4089159,,CHEMBL4089159,7.28,0,http://www.openphacts.org/units/Nanomolar,2992039,=,1,1,=,,IC50,nM,,53.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,53.0,7.276
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25676248,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5378446,Inhibition of human DYRK1A assessed as incorporation of 33Pi using [gamma-33P]-ATP measured after 60 mins by microplate scintillation counting based radiometric analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1C,,,CHEMBL5375979,J Med Chem,2023,"{'bei': '20.23', 'le': '0.38', 'lle': '5.04', 'sei': '10.05'}",CHEMBL5406864,,CHEMBL5406864,7.27,0,http://www.openphacts.org/units/Nanomolar,4001679,=,1,1,=,,IC50,nM,,53.5,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,53.5,7.272
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623962,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(N[C@@H]2CCCOC2)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '22.13', 'le': '0.43', 'lle': '5.38', 'sei': '9.61'}",CHEMBL5397281,,CHEMBL5397281,7.27,0,http://www.openphacts.org/units/Nanomolar,3991532,=,1,1,=,,IC50,nM,,54.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.054,7.268
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24846247,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.5', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '30.0'}]",CHEMBL5146812,Inhibition of DYRK1A (unknown origin) using HT-497 as substrate preincubated with compound followed by substrate addition and measured after 30 mins in the presence of ATP by ELISA analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1F)c1cc(O)c(O)c(O)c1F,,,CHEMBL5143627,Bioorg Med Chem Lett,2022,"{'bei': '14.70', 'le': '0.28', 'lle': '4.76', 'sei': '3.68'}",CHEMBL5187181,,CHEMBL5187181,7.27,0,http://www.openphacts.org/units/Nanomolar,3881114,=,1,1,=,,IC50,nM,,54.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,54.0,7.268
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22424832,[],CHEMBL4674732,Inhibition of DYRK1a (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,C=C(c1ccc2c(c1)CC(C)(C)c1c(N)ncnc1-2)C1CCNCC1,,,CHEMBL4673215,Bioorg Med Chem Lett,2018,"{'bei': '21.73', 'le': '0.40', 'lle': '3.70', 'sei': '11.39'}",CHEMBL4755730,,CHEMBL4755730,7.27,0,http://www.openphacts.org/units/Nanomolar,3514182,=,1,1,=,,IC50,nM,,54.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.054000000000000006,7.268
,,18407881,[],CHEMBL4151434,Inhibition of GST-tagged human recombinant DYRK1A by FRET-based LanthaScreen Eu kinase binding assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)[nH]c1c(CO)nccc12,,,CHEMBL4145671,J Med Chem,2018,"{'bei': '31.81', 'le': '0.58', 'lle': '5.04', 'sei': '12.49'}",CHEMBL4066450,,CHEMBL4066450,7.26,0,http://www.openphacts.org/units/Nanomolar,3055167,=,1,1,=,,IC50,nM,,54.8,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,54.8,7.261
,429641,17791307,[],CHEMBL3889022,"HotSpot Technology Assay: The DYRK1A and DYRK1B kinase assays to determine IC50 values were performed by Reaction Biology Corporation using HotSpot technology Worldwide website: reactionbiology.com, Malvern, PA). Kinase reaction with specific kinase/ substrate pair along with required cofactors was carried out in 20 mM Hepes pH 7.5, 10 mM MgCl2, 1 mM EGTA, 0.02% Brij35, 0.02 mg/ml BSA, 0.1 mM Na3VO4, 2 mM DTT, 1% DMSO. Purified recombinant kinase was incubated with serial 3-fold dilutions of test compounds starting at a final concentration of 10 μM. Reaction was initiated by addition of a mixture of ATP (Sigma, St. Louis MO) and 33P ATP (Perkin Elmer, Waltham MA) to a final concentration of 10 μM and was carried out at room temperature for 120 min, followed by spotting of the reaction onto P81 ion exchange filter paper (Whatman Inc., Piscataway, NJ). Unbound phosphate was removed by extensive washing of filters in 0.75% Phosphoric acid.",B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(N5CCCC5)cc4)c3c2s1,,,CHEMBL3886922,,2016,"{'bei': '17.95', 'le': '0.34', 'lle': '2.70', 'sei': '8.34'}",CHEMBL3982462,,CHEMBL3982462,7.26,0,http://www.openphacts.org/units/Nanomolar,2894544,=,37,1,=,,IC50,nM,,54.84,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,54.84,7.261
,,18006649,[],CHEMBL4003355,Inhibition of human DYRK1A preincubated for 10 mins followed by YRASPSRPESPRPPA-amide substrate addition by pyruvate kinase and lactate dehydrogenase coupled enzyme assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)c1c(/C(C#N)=C/N)c2ccc(Cl)c(Cl)c2n1C,,,CHEMBL4002585,Eur J Med Chem,2017,"{'bei': '21.46', 'le': '0.45', 'lle': '3.78', 'sei': '8.96'}",CHEMBL4090007,,CHEMBL4090007,7.26,0,http://www.openphacts.org/units/Nanomolar,2983855,=,1,1,=,,IC50,nM,,55.2,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,55.2,7.258
